date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-03-25,Georgia,Gwinnett,13135,69,1,902298,23,0
2020-03-25,Georgia,Hall,13139,19,0,195961,3,0
2020-03-26,Georgia,Cobb,13067,119,5,745057,10,0
2020-03-26,Georgia,DeKalb,13089,137,0,743187,12,0
2020-03-26,Georgia,Fulton,13121,231,4,1021902,27,0
2020-03-26,Georgia,Gwinnett,13135,79,1,902298,10,0
2020-03-26,Georgia,Hall,13139,22,0,195961,3,0
2020-03-27,Georgia,Cobb,13067,163,5,745057,44,0
2020-03-27,Georgia,DeKalb,13089,219,2,743187,82,2
2020-03-27,Georgia,Fulton,13121,347,12,1021902,116,8
2020-03-27,Georgia,Gwinnett,13135,121,1,902298,42,0
2020-03-27,Georgia,Hall,13139,30,0,195961,8,0
2020-03-28,Georgia,Cobb,13067,185,9,745057,22,4
2020-03-28,Georgia,DeKalb,13089,246,3,743187,27,1
2020-03-28,Georgia,Fulton,13121,378,13,1021902,31,1
2020-03-28,Georgia,Gwinnett,13135,131,1,902298,10,0
2020-03-28,Georgia,Hall,13139,31,0,195961,1,0
2020-03-29,Georgia,Cobb,13067,228,9,745057,43,0
2020-03-29,Georgia,DeKalb,13089,273,3,743187,27,0
2020-03-29,Georgia,Fulton,13121,425,12,1021902,47,-1
2020-03-29,Georgia,Gwinnett,13135,145,1,902298,14,0
2020-03-29,Georgia,Hall,13139,33,0,195961,2,0
2020-03-30,Georgia,Cobb,13067,250,11,745057,22,2
2020-03-30,Georgia,DeKalb,13089,294,3,743187,21,0
2020-03-30,Georgia,Fulton,13121,503,16,1021902,78,4
2020-03-30,Georgia,Gwinnett,13135,178,2,902298,33,1
2020-03-30,Georgia,Hall,13139,34,0,195961,1,0
2020-03-31,Georgia,Cobb,13067,287,13,745057,37,2
2020-03-31,Georgia,DeKalb,13089,360,4,743187,66,1
2020-03-31,Georgia,Fulton,13121,599,18,1021902,96,2
2020-03-31,Georgia,Gwinnett,13135,242,2,902298,64,0
2020-03-31,Georgia,Hall,13139,67,0,195961,33,0
2020-04-01,Georgia,Cobb,13067,304,15,745057,17,2
2020-04-01,Georgia,DeKalb,13089,360,4,743187,0,0
2020-04-01,Georgia,Fulton,13121,638,20,1021902,39,2
2020-04-01,Georgia,Gwinnett,13135,257,6,902298,15,4
2020-04-01,Georgia,Hall,13139,71,0,195961,4,0
2020-04-02,Georgia,Cobb,13067,341,17,745057,37,2
2020-04-02,Georgia,DeKalb,13089,409,8,743187,49,4
2020-04-02,Georgia,Fulton,13121,747,23,1021902,109,3
2020-04-02,Georgia,Gwinnett,13135,303,8,902298,46,2
2020-04-02,Georgia,Hall,13139,72,0,195961,1,0
2020-04-03,Georgia,Cobb,13067,422,20,745057,81,3
2020-04-03,Georgia,DeKalb,13089,483,8,743187,74,0
2020-04-03,Georgia,Fulton,13121,910,26,1021902,163,3
2020-04-03,Georgia,Gwinnett,13135,353,8,902298,50,0
2020-04-03,Georgia,Hall,13139,81,0,195961,9,0
2020-04-04,Georgia,Cobb,13067,453,23,745057,31,3
2020-04-04,Georgia,DeKalb,13089,539,9,743187,56,1
2020-04-04,Georgia,Fulton,13121,959,26,1021902,49,0
2020-04-04,Georgia,Gwinnett,13135,400,8,902298,47,0
2020-04-04,Georgia,Hall,13139,117,0,195961,36,0
2020-04-05,Georgia,Cobb,13067,474,24,745057,21,1
2020-04-05,Georgia,DeKalb,13089,549,9,743187,10,0
2020-04-05,Georgia,Fulton,13121,970,28,1021902,11,2
2020-04-05,Georgia,Gwinnett,13135,410,7,902298,10,-1
2020-04-05,Georgia,Hall,13139,117,0,195961,0,0
2020-04-06,Georgia,Cobb,13067,517,26,745057,43,2
2020-04-06,Georgia,DeKalb,13089,600,11,743187,51,2
2020-04-06,Georgia,Fulton,13121,1053,32,1021902,83,4
2020-04-06,Georgia,Gwinnett,13135,455,10,902298,45,3
2020-04-06,Georgia,Hall,13139,138,0,195961,21,0
2020-04-07,Georgia,Cobb,13067,566,29,745057,49,3
2020-04-07,Georgia,DeKalb,13089,673,11,743187,73,0
2020-04-07,Georgia,Fulton,13121,1185,39,1021902,132,7
2020-04-07,Georgia,Gwinnett,13135,540,13,902298,85,3
2020-04-07,Georgia,Hall,13139,215,0,195961,77,0
2020-04-08,Georgia,Cobb,13067,608,29,745057,42,0
2020-04-08,Georgia,DeKalb,13089,732,12,743187,59,1
2020-04-08,Georgia,Fulton,13121,1261,42,1021902,76,3
2020-04-08,Georgia,Gwinnett,13135,586,17,902298,46,4
2020-04-08,Georgia,Hall,13139,233,0,195961,18,0
2020-04-09,Georgia,Cobb,13067,653,32,745057,45,3
2020-04-09,Georgia,DeKalb,13089,766,13,743187,34,1
2020-04-09,Georgia,Fulton,13121,1336,48,1021902,75,6
2020-04-09,Georgia,Gwinnett,13135,618,17,902298,32,0
2020-04-09,Georgia,Hall,13139,247,0,195961,14,0
2020-04-10,Georgia,Cobb,13067,681,33,745057,28,1
2020-04-10,Georgia,DeKalb,13089,826,13,743187,60,0
2020-04-10,Georgia,Fulton,13121,1417,50,1021902,81,2
2020-04-10,Georgia,Gwinnett,13135,669,17,902298,51,0
2020-04-10,Georgia,Hall,13139,273,0,195961,26,0
2020-04-11,Georgia,Cobb,13067,705,32,745057,24,-1
2020-04-11,Georgia,DeKalb,13089,848,14,743187,22,1
2020-04-11,Georgia,Fulton,13121,1446,50,1021902,29,0
2020-04-11,Georgia,Gwinnett,13135,681,18,902298,12,1
2020-04-11,Georgia,Hall,13139,276,0,195961,3,0
2020-04-12,Georgia,Cobb,13067,728,35,745057,23,3
2020-04-12,Georgia,DeKalb,13089,893,14,743187,45,0
2020-04-12,Georgia,Fulton,13121,1495,50,1021902,49,0
2020-04-12,Georgia,Gwinnett,13135,701,19,902298,20,1
2020-04-12,Georgia,Hall,13139,282,0,195961,6,0
2020-04-13,Georgia,Cobb,13067,816,36,745057,88,1
2020-04-13,Georgia,DeKalb,13089,1006,15,743187,113,1
2020-04-13,Georgia,Fulton,13121,1635,52,1021902,140,2
2020-04-13,Georgia,Gwinnett,13135,766,24,902298,65,5
2020-04-13,Georgia,Hall,13139,319,0,195961,37,0
2020-04-14,Georgia,Cobb,13067,895,41,745057,79,5
2020-04-14,Georgia,DeKalb,13089,1144,15,743187,138,0
2020-04-14,Georgia,Fulton,13121,1812,60,1021902,177,8
2020-04-14,Georgia,Gwinnett,13135,815,29,902298,49,5
2020-04-14,Georgia,Hall,13139,363,0,195961,44,0
2020-04-15,Georgia,Cobb,13067,950,44,745057,55,3
2020-04-15,Georgia,DeKalb,13089,1225,16,743187,81,1
2020-04-15,Georgia,Fulton,13121,1902,63,1021902,90,3
2020-04-15,Georgia,Gwinnett,13135,885,32,902298,70,3
2020-04-15,Georgia,Hall,13139,402,5,195961,39,5
2020-04-16,Georgia,Cobb,13067,1014,49,745057,64,5
2020-04-16,Georgia,DeKalb,13089,1260,21,743187,35,5
2020-04-16,Georgia,Fulton,13121,1945,66,1021902,43,3
2020-04-16,Georgia,Gwinnett,13135,917,32,902298,32,0
